,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,329934900.0,"[180.95000000000002, 180.97, 181.0, 0.0, 0.0]","[2, 2, 5, 0, 0]","[180.85, 180.83, 180.82, 0.0, 0.0]","[1, 1, 3, 0, 0]",191.0,182.2,180.86,0.0,180.8,182.69,13,1768833,0.0,0,20240202 13:36:51,17688
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,329934900.0,"[180.95000000000002, 180.97, 181.0, 0.0, 0.0]","[2, 2, 5, 0, 0]","[180.85, 180.83, 180.82, 0.0, 0.0]","[1, 1, 3, 0, 0]",191.0,182.2,180.86,0.0,180.8,182.69,13,1768833,0.0,0,20240202 13:36:51,17688
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330170100.0,"[181.01, 181.06, 181.13, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.85, 0.0, 0.0]","[1, 1, 1, 0, 0]",191.0,182.2,180.95000000000002,0.0,180.8,182.69,13,1770133,0.0,0,20240202 13:36:54,17701
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330170100.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[3, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.86, 0.0, 0.0]","[1, 1, 3, 0, 0]",191.0,182.2,180.95000000000002,0.0,180.8,182.69,13,1770133,0.0,0,20240202 13:36:57,17701
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330224400.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.86, 0.0, 0.0]","[1, 1, 4, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1770433,0.0,0,20240202 13:37:00,17704
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330224400.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.86, 0.0, 0.0]","[1, 1, 4, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1770433,0.0,0,20240202 13:37:00,17704
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330224400.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.86, 0.0, 0.0]","[1, 1, 4, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1770433,0.0,0,20240202 13:37:00,17704
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330224400.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.95000000000002, 180.9, 180.86, 0.0, 0.0]","[1, 1, 4, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1770433,0.0,0,20240202 13:37:00,17704
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330224400.0,"[181.01, 181.06, 181.16, 0.0, 0.0]","[2, 5, 1, 0, 0]","[180.96, 180.95000000000002, 180.9, 0.0, 0.0]","[1, 1, 1, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1770433,0.0,0,20240202 13:37:03,17704
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330242500.0,"[180.96, 181.01, 181.06, 0.0, 0.0]","[3, 2, 5, 0, 0]","[180.95000000000002, 180.86, 180.85, 0.0, 0.0]","[1, 6, 1, 0, 0]",191.0,182.2,180.96,0.0,180.8,182.69,13,1770533,0.0,0,20240202 13:37:06,17705
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330242500.0,"[180.96, 181.01, 181.06, 0.0, 0.0]","[3, 2, 5, 0, 0]","[180.95000000000002, 180.86, 180.85, 0.0, 0.0]","[1, 6, 1, 0, 0]",191.0,182.2,180.96,0.0,180.8,182.69,13,1770533,0.0,0,20240202 13:37:06,17705
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330242500.0,"[180.96, 181.01, 181.06, 0.0, 0.0]","[3, 2, 5, 0, 0]","[180.95000000000002, 180.86, 180.85, 0.0, 0.0]","[1, 6, 1, 0, 0]",191.0,182.2,180.96,0.0,180.8,182.69,13,1770533,0.0,0,20240202 13:37:06,17705
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330314900.0,"[180.96, 181.0, 181.01, 0.0, 0.0]","[3, 3, 2, 0, 0]","[180.86, 180.85, 180.82, 0.0, 0.0]","[6, 1, 3, 0, 0]",191.0,182.2,180.95000000000002,0.0,180.8,182.69,13,1770933,0.0,0,20240202 13:37:09,17709
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330314900.0,"[180.96, 181.0, 181.01, 0.0, 0.0]","[3, 3, 2, 0, 0]","[180.86, 180.85, 180.82, 0.0, 0.0]","[6, 1, 3, 0, 0]",191.0,182.2,180.95000000000002,0.0,180.8,182.69,13,1770933,0.0,0,20240202 13:37:09,17709
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330532100.0,"[181.06, 181.16, 181.20000000000002, 0.0, 0.0]","[6, 1, 5, 0, 0]","[181.01, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1772133,0.0,0,20240202 13:37:15,17721
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330532100.0,"[181.06, 181.16, 181.20000000000002, 0.0, 0.0]","[6, 1, 5, 0, 0]","[181.01, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1772133,0.0,0,20240202 13:37:15,17721
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330532100.0,"[181.06, 181.16, 181.20000000000002, 0.0, 0.0]","[6, 1, 5, 0, 0]","[181.01, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1772133,0.0,0,20240202 13:37:15,17721
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
603444.SH,330532100.0,"[181.06, 181.16, 181.20000000000002, 0.0, 0.0]","[6, 1, 5, 0, 0]","[181.01, 181.0, 180.96, 0.0, 0.0]","[2, 3, 1, 0, 0]",191.0,182.2,181.01,0.0,180.8,182.69,13,1772133,0.0,0,20240202 13:37:15,17721
,amount,askPrice,askVol,bidPrice,bidVol,high,lastClose,lastPrice,lastSettlementPrice,low,open,openInt,pvolume,settlementPrice,stockStatus,timetag,volume
