timetag,20240202 09:30:09
volume,59
,603444.SH
amount,1854600.0
askPrice,"[183.99, 184.0, 184.5, 0.0, 0.0]"
askVol,"[4, 14, 3, 0, 0]"
bidPrice,"[182.84, 182.8, 182.71, 0.0, 0.0]"
bidVol,"[1, 1, 5, 0, 0]"
high,183.99
lastClose,182.2
lastPrice,182.84
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,10132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:12
volume,101
,603444.SH
amount,2847600.0
askPrice,"[184.5, 184.66, 184.67000000000002, 0.0, 0.0]"
askVol,"[1, 5, 1, 0, 0]"
bidPrice,"[184.0, 183.99, 183.0, 0.0, 0.0]"
bidVol,"[4, 3, 2, 0, 0]"
high,184.5
lastClose,182.2
lastPrice,184.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,15532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:15
volume,155
,603444.SH
amount,3105200.0
askPrice,"[183.99, 184.0, 184.49, 0.0, 0.0]"
askVol,"[1, 3, 1, 0, 0]"
bidPrice,"[183.76, 183.72, 183.68, 0.0, 0.0]"
bidVol,"[2, 3, 1, 0, 0]"
high,184.5
lastClose,182.2
lastPrice,183.99
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,16932
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:18
volume,169
,603444.SH
amount,3289200.0
askPrice,"[184.49, 184.5, 184.66, 0.0, 0.0]"
askVol,"[1, 1, 6, 0, 0]"
bidPrice,"[184.34, 184.09, 184.08, 0.0, 0.0]"
bidVol,"[1, 5, 15, 0, 0]"
high,184.5
lastClose,182.2
lastPrice,184.34
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,17932
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:21
volume,179
,603444.SH
amount,3713800.0
askPrice,"[184.68, 184.76, 184.78, 0.0, 0.0]"
askVol,"[3, 2, 10, 0, 0]"
bidPrice,"[184.58, 184.56, 184.54, 0.0, 0.0]"
bidVol,"[13, 1, 7, 0, 0]"
high,184.67000000000002
lastClose,182.2
lastPrice,184.58
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,20232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:30:24
volume,202
,603444.SH
amount,4212700.0
askPrice,"[184.9, 184.98, 184.99, 0.0, 0.0]"
askVol,"[1, 11, 1, 0, 0]"
bidPrice,"[184.85, 184.8, 184.77, 0.0, 0.0]"
bidVol,"[6, 3, 5, 0, 0]"
high,184.85
lastClose,182.2
lastPrice,184.85
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,22932
