date,open,high,low,close,volume
2022-03-01,4.52,4.57,4.49,4.52,66540
2022-03-02,4.5,4.54,4.48,4.53,57747
2022-03-03,4.57,4.62,4.52,4.62,109198
2022-03-04,4.62,4.62,4.54,4.56,96102
2022-03-07,4.56,4.6,4.47,4.51,81144
2022-03-08,4.48,4.49,4.35,4.37,90002
2022-03-09,4.38,4.44,4.13,4.31,131902
2022-03-10,4.38,4.54,4.33,4.53,168477
2022-03-11,4.45,4.48,4.34,4.44,125645
2022-03-14,4.4,4.43,4.29,4.31,77776
2022-03-15,4.31,4.31,4.0,4.03,154046
2022-03-16,4.05,4.11,3.91,4.09,94267
2022-03-17,4.12,4.15,4.08,4.1,82272
2022-03-18,4.07,4.23,4.04,4.19,87514
2022-03-21,4.23,4.23,4.13,4.19,61078
2022-03-22,4.16,4.23,4.15,4.19,41636
2022-03-23,4.23,4.25,4.18,4.2,47194
2022-03-24,4.16,4.19,4.1,4.13,57611
2022-03-25,4.12,4.14,4.07,4.09,60510
2022-03-28,4.08,4.14,4.02,4.12,46208
2022-03-29,4.09,4.14,4.05,4.07,39563
2022-03-30,4.09,4.11,4.07,4.1,57376
2022-03-31,4.11,4.13,4.08,4.1,54289
2022-04-01,4.08,4.14,4.06,4.12,59493
2022-04-06,4.1,4.23,4.09,4.22,90571
2022-04-07,4.23,4.23,4.15,4.15,77720
2022-04-08,4.16,4.22,4.13,4.21,73100
2022-04-11,4.19,4.26,4.16,4.16,99750
2022-04-12,4.19,4.2,4.09,4.18,87019
2022-04-13,4.18,4.18,4.12,4.14,43497
2022-04-14,4.14,4.18,4.14,4.14,43792
2022-04-15,4.12,4.22,4.11,4.2,100240
2022-04-18,4.16,4.21,4.13,4.2,62462
2022-04-19,4.19,4.28,4.18,4.24,92138
2022-04-20,4.22,4.26,4.17,4.18,73408
2022-04-21,4.17,4.2,3.98,4.0,101929
2022-04-22,4.02,4.09,3.93,4.06,82781
2022-04-25,3.98,4.02,3.77,3.78,103151
2022-04-26,3.78,3.84,3.58,3.62,93345
2022-04-27,3.59,3.68,3.46,3.68,85866
2022-04-28,3.75,4.05,3.7,4.05,156562
2022-04-29,3.92,4.25,3.92,4.15,303272
2022-05-05,4.06,4.18,4.03,4.17,192028
2022-05-06,4.05,4.15,4.04,4.08,99002
2022-05-09,4.1,4.15,4.05,4.13,79608
2022-05-10,4.08,4.25,4.07,4.24,171272
2022-05-11,4.26,4.3,4.14,4.15,136863
2022-05-12,4.13,4.26,4.11,4.2,99904
2022-05-13,4.18,4.27,4.17,4.26,119247
2022-05-16,4.27,4.27,4.18,4.21,76730
2022-05-17,4.21,4.23,4.13,4.2,68443
2022-05-18,4.19,4.23,4.17,4.19,72701
2022-05-19,4.15,4.21,4.12,4.2,68264
2022-05-20,4.2,4.25,4.18,4.23,81034
2022-05-23,4.22,4.26,4.2,4.21,60440
2022-05-24,4.22,4.24,4.08,4.1,83536
2022-05-25,4.1,4.45,4.07,4.36,223944
2022-05-26,4.37,4.4,4.28,4.36,156103
2022-05-27,4.42,4.45,4.27,4.29,130977
2022-05-30,4.32,4.35,4.25,4.35,104084
2022-05-31,4.34,4.43,4.3,4.41,127165
2022-06-01,4.37,4.41,4.32,4.39,97137
2022-06-02,4.36,4.38,4.31,4.34,74036
2022-06-06,4.34,4.34,4.27,4.34,74038
