date,open,high,low,close,volume
2022-03-01,86.01,86.29,82.0,83.4,27985
2022-03-02,83.38,83.56,80.91,82.28,23270
2022-03-03,82.42,82.98,80.16,80.71,13738
2022-03-04,79.11,83.95,78.21,81.7,24394
2022-03-07,80.8,81.0,77.8,79.9,20486
2022-03-08,79.9,85.6,79.31,82.68,29618
2022-03-09,83.8,87.35,81.0,84.66,32648
2022-03-10,87.31,88.66,83.47,83.97,37578
2022-03-11,82.48,86.83,82.0,86.2,20060
2022-03-14,86.85,86.88,83.8,84.03,13389
2022-03-15,84.03,88.52,82.33,83.59,25505
2022-03-16,86.32,92.33,84.16,90.91,34842
2022-03-17,93.18,94.99,86.3,87.0,41356
2022-03-18,85.55,87.0,80.11,86.22,43780
2022-03-21,84.5,86.98,83.5,85.4,22060
2022-03-22,84.52,84.92,80.49,80.49,17803
2022-03-23,80.63,83.75,80.3,81.61,16597
2022-03-24,81.42,81.5,78.88,80.69,13154
2022-03-25,81.98,82.38,77.4,78.01,11595
2022-03-28,77.3,77.79,74.78,76.73,17216
2022-03-29,77.0,78.4,74.51,75.36,10194
2022-03-30,76.01,79.38,74.67,78.28,11818
2022-03-31,77.52,79.37,76.3,77.85,11146
2022-04-01,76.3,79.2,74.48,77.54,15945
2022-04-06,77.0,77.0,72.1,72.23,25441
2022-04-07,72.1,74.73,71.05,73.15,18281
2022-04-08,72.72,78.38,72.34,75.89,25989
2022-04-11,75.75,77.01,72.5,75.3,16094
2022-04-12,73.8,76.5,73.21,75.4,9850
2022-04-13,75.0,75.88,72.83,73.2,8963
2022-04-14,72.59,74.24,69.04,71.46,15382
2022-04-15,70.57,71.3,69.2,70.96,9533
2022-04-18,70.0,75.93,69.81,74.99,12202
2022-04-19,75.2,77.31,74.11,76.68,13990
2022-04-20,77.0,77.88,74.7,75.02,6832
2022-04-21,74.7,76.88,72.5,73.35,9128
2022-04-22,73.0,74.8,71.5,72.0,7169
2022-04-25,70.22,71.48,65.22,65.85,11233
2022-04-26,64.64,65.17,52.68,53.56,52637
2022-04-27,53.0,55.36,50.42,53.95,49863
2022-04-28,53.79,53.79,49.0,50.81,38612
2022-04-29,51.36,54.22,48.66,53.21,46083
2022-05-05,53.0,55.58,52.34,54.51,32015
2022-05-06,52.49,55.5,52.41,54.96,22586
2022-05-09,54.49,55.95,53.8,53.83,11138
