date,open,high,low,close,volume
2022-03-01,22.44,22.54,22.23,22.51,11323
2022-03-02,22.25,22.46,22.18,22.42,8107
2022-03-03,22.55,22.58,22.05,22.06,11240
2022-03-04,22.06,22.33,21.72,21.74,9932
2022-03-07,21.7,21.72,21.01,21.19,10453
2022-03-08,21.24,21.48,20.5,20.61,10496
2022-03-09,20.9,20.91,19.52,20.05,15172
2022-03-10,20.55,20.65,20.01,20.16,13065
2022-03-11,19.9,20.16,19.38,20.13,10753
2022-03-14,19.9,19.99,19.13,19.16,13547
2022-03-15,19.1,19.14,17.94,17.98,18734
2022-03-16,18.35,18.57,17.72,18.49,13797
2022-03-17,18.5,19.22,18.45,18.85,17145
2022-03-18,19.34,20.47,19.34,19.45,27914
2022-03-21,19.4,20.47,19.32,20.27,30841
2022-03-22,20.2,20.36,19.81,20.02,18293
2022-03-23,20.07,21.67,19.81,20.76,41075
2022-03-24,21.6,21.6,20.15,20.24,38311
2022-03-25,20.0,20.26,19.77,20.0,21751
2022-03-28,19.7,19.99,19.48,19.75,10518
2022-03-29,19.96,19.96,19.22,19.29,13196
2022-03-30,19.5,19.68,19.25,19.5,9866
2022-03-31,19.51,19.68,19.21,19.21,10441
2022-04-01,19.11,19.43,18.93,19.05,9762
2022-04-06,19.01,19.45,18.93,19.16,6824
2022-04-07,19.16,19.16,18.61,18.61,7253
2022-04-08,18.62,18.73,18.22,18.42,7727
2022-04-11,18.43,18.54,17.55,17.66,9195
2022-04-12,17.83,18.19,17.39,18.07,7575
2022-04-13,17.93,17.99,17.29,17.32,7658
2022-04-14,17.56,17.7,17.36,17.45,5386
2022-04-15,17.36,17.36,16.86,17.0,7457
2022-04-18,16.8,17.45,16.56,17.28,9720
2022-04-19,17.47,18.04,17.33,17.54,11624
2022-04-20,17.5,17.7,17.25,17.5,9289
2022-04-21,17.52,17.75,17.03,17.2,9381
2022-04-22,16.95,17.2,16.65,16.93,7698
2022-04-25,16.56,16.6,14.75,14.91,16611
2022-04-26,15.0,15.25,14.03,14.03,11756
2022-04-27,14.05,14.91,13.76,14.87,14160
2022-04-28,14.8,15.19,14.62,14.74,11848
2022-04-29,14.89,15.7,14.89,15.47,12880
2022-05-05,15.19,15.85,15.19,15.64,9517
2022-05-06,15.2,15.8,15.03,15.56,8847
2022-05-09,15.56,16.12,15.54,15.96,8492
2022-05-10,16.0,16.33,15.55,16.19,9954
2022-05-11,16.18,17.09,16.12,16.39,18015
2022-05-12,16.2,16.68,16.11,16.53,11015
2022-05-13,16.66,16.69,16.4,16.51,6799
2022-05-16,16.51,16.86,16.37,16.45,6534
2022-05-17,16.4,16.59,16.14,16.4,7832
2022-05-18,16.56,16.94,16.51,16.78,12534
2022-05-19,16.52,16.98,16.42,16.9,12004
2022-05-20,17.07,17.1,16.7,16.83,10697
2022-05-23,16.8,17.09,16.78,16.92,7511
2022-05-24,16.92,17.22,16.06,16.06,14969
2022-05-25,16.11,16.47,16.1,16.34,6848
2022-05-26,16.47,16.57,15.94,16.32,9170
2022-05-27,16.32,16.6,16.06,16.28,6060
2022-05-30,16.28,16.46,16.07,16.23,9079
2022-05-31,16.32,16.52,15.91,16.49,12033
2022-06-01,16.49,17.0,16.37,16.84,15092
2022-06-02,16.78,17.62,16.64,17.6,21184
2022-06-06,17.6,17.94,17.42,17.79,18210
2022-06-07,18.0,18.2,17.43,17.5,14240
2022-06-08,17.49,17.69,17.06,17.37,12698
2022-06-09,17.36,17.36,16.8,17.11,12307
2022-06-10,17.0,17.24,16.85,17.2,9924
2022-06-13,17.05,17.26,16.89,17.26,9100
2022-06-14,17.03,17.13,16.5,17.13,15030
2022-06-15,17.08,17.45,17.05,17.15,12497
2022-06-16,17.09,17.44,17.08,17.3,10189
2022-06-17,17.12,17.27,16.84,17.19,9814
2022-06-20,17.38,17.67,17.2,17.6,13054
2022-06-21,17.46,17.74,17.32,17.55,13909
2022-06-22,17.41,17.6,17.15,17.2,10319
2022-06-23,17.34,18.77,17.2,18.55,51516
2022-06-24,18.46,18.46,18.0,18.1,36920
2022-06-27,18.1,18.55,17.86,18.39,32144
2022-06-28,18.38,19.94,18.01,19.33,51570
2022-06-29,19.0,19.45,18.47,18.47,35875
2022-06-30,18.44,18.88,18.23,18.3,23881
2022-07-01,18.28,18.67,18.11,18.17,17070
2022-07-04,18.01,18.4,17.58,18.22,17347
2022-07-05,18.26,18.38,17.6,17.83,12744
2022-07-06,17.83,18.28,17.64,18.0,13209
2022-07-07,18.0,18.77,17.61,18.58,23606
2022-07-08,18.51,19.0,18.31,18.72,25711
2022-07-11,18.7,18.7,18.04,18.27,15061
2022-07-12,18.11,18.18,17.1,17.13,17076
2022-07-13,17.1,17.46,17.1,17.28,7995
2022-07-14,17.15,18.55,17.15,18.36,27420
2022-07-15,18.34,18.7,18.03,18.18,14327
2022-07-18,18.48,18.49,18.18,18.39,12552
2022-07-19,18.55,19.1,18.28,18.97,28115
2022-07-20,19.21,19.46,18.96,19.17,30895
2022-07-21,19.1,20.97,19.0,19.78,64989
2022-07-22,19.56,19.87,18.92,19.02,40038
2022-07-25,18.98,19.1,18.6,18.61,16304
2022-07-26,18.73,18.89,18.2,18.67,15070
2022-07-27,18.48,18.84,18.46,18.83,12178
2022-07-28,18.93,21.94,18.85,20.41,95486
2022-07-29,20.61,20.71,19.58,19.69,54476
2022-08-01,19.8,21.6,19.37,21.42,88371
2022-08-02,21.31,22.58,20.65,21.7,109120
2022-08-03,21.33,22.27,21.03,21.86,81900
2022-08-04,21.6,22.5,21.02,21.24,52460
2022-08-05,21.01,22.3,20.6,22.15,58095
2022-08-08,21.8,24.67,21.21,23.49,79209
2022-08-09,23.21,24.5,22.47,24.5,100331
2022-08-10,23.8,25.3,23.39,23.39,92646
2022-08-11,23.21,24.98,23.21,23.9,96484
2022-08-12,23.0,24.79,22.8,23.76,84837
2022-08-15,23.38,23.84,22.51,22.77,74653
2022-08-16,22.65,23.15,21.87,22.29,61088
2022-08-17,22.32,22.39,21.6,22.04,47316
2022-08-18,21.85,22.88,21.68,22.45,47071
2022-08-19,22.23,23.38,21.17,21.25,62646
