date,open,high,low,close,volume
2022-03-01,43.6,44.28,42.7,43.8,66289
2022-03-02,43.71,44.48,42.83,43.79,58977
2022-03-03,44.0,44.17,41.55,41.62,77340
2022-03-04,41.4,42.24,40.4,40.74,62328
2022-03-07,40.91,42.47,40.74,41.12,78021
2022-03-08,41.21,41.5,32.99,34.98,273356
2022-03-09,34.39,35.0,32.51,34.35,150655
2022-03-10,35.94,38.6,35.38,37.55,139408
2022-03-11,37.18,37.38,35.75,36.85,70214
2022-03-14,36.5,38.05,36.1,37.09,65288
2022-03-15,36.38,37.69,36.1,36.1,81611
2022-03-16,36.33,38.05,35.66,37.81,84653
2022-03-17,38.27,40.38,38.27,38.89,99401
2022-03-18,38.9,38.95,37.25,37.54,50217
2022-03-21,37.91,40.14,37.23,39.49,74255
2022-03-22,39.59,40.09,38.56,38.79,50683
2022-03-23,38.79,41.65,38.01,40.81,75679
2022-03-24,40.15,40.76,39.45,40.23,53061
2022-03-25,40.54,40.72,38.56,38.89,113973
2022-03-28,38.38,38.49,35.89,36.4,91965
2022-03-29,36.44,38.22,35.8,35.93,105789
2022-03-30,35.9,37.56,35.14,36.98,74776
2022-03-31,37.09,37.13,35.3,35.56,73670
2022-04-01,35.35,36.0,35.02,35.41,36129
2022-04-06,35.12,35.16,34.0,34.88,47073
2022-04-07,34.61,36.37,34.61,34.72,49298
2022-04-08,35.34,35.55,33.9,33.99,57714
2022-04-11,34.02,34.05,31.91,32.17,83234
2022-04-12,32.0,32.68,31.83,32.48,43866
2022-04-13,32.11,32.48,31.09,31.28,54782
2022-04-14,31.5,32.15,30.97,31.39,39849
2022-04-15,31.3,31.3,29.7,30.7,72100
2022-04-18,30.7,32.4,29.98,31.83,63493
2022-04-19,32.04,33.02,31.86,32.01,53456
2022-04-20,32.1,32.28,30.77,30.87,42315
2022-04-21,30.8,31.23,29.67,29.75,60308
2022-04-22,29.67,30.13,28.68,28.98,48677
2022-04-25,28.96,28.96,26.0,26.4,62241
2022-04-26,26.39,26.77,25.11,25.18,66036
2022-04-27,24.6,27.18,24.18,26.99,68536
2022-04-28,26.68,27.45,26.24,26.6,69159
2022-04-29,27.0,28.98,26.21,28.9,90556
2022-05-05,28.5,32.55,28.2,31.3,129544
2022-05-06,30.5,34.48,30.15,32.5,97988
2022-05-09,32.48,35.1,32.03,34.24,95542
2022-05-10,33.7,37.4,33.38,35.6,147202
2022-05-11,36.0,36.66,34.0,34.91,109258
2022-05-12,34.5,35.7,34.44,35.1,66024
2022-05-13,35.36,35.44,34.55,35.05,31307
2022-05-16,35.45,35.96,34.66,35.03,41869
2022-05-17,35.25,36.35,34.39,35.92,56602
2022-05-18,36.0,37.44,35.57,36.73,71945
2022-05-19,36.05,37.26,35.45,36.96,46718
2022-05-20,36.83,38.04,36.17,36.83,48677
2022-05-23,36.44,36.44,35.15,36.02,68504
2022-05-24,36.39,37.85,35.43,35.43,84154
2022-05-25,35.14,36.34,35.0,35.56,48839
2022-05-26,35.38,38.82,35.12,37.61,95821
2022-05-27,37.8,37.99,36.53,37.25,70039
2022-05-30,37.51,37.57,36.6,37.56,69434
2022-05-31,37.31,37.6,36.85,37.4,61765
2022-06-01,38.16,38.45,37.18,37.56,76872
2022-06-02,37.53,38.47,37.1,37.96,47484
2022-06-06,38.18,40.4,37.65,39.88,72624
2022-06-07,39.88,40.12,38.29,38.59,65674
2022-06-08,38.9,38.9,36.01,37.67,109029
2022-06-09,37.08,37.26,35.56,35.75,100069
2022-06-10,35.95,37.71,35.68,37.29,112341
2022-06-13,37.0,38.52,36.93,37.85,77504
2022-06-14,37.41,37.41,36.01,36.88,68905
2022-06-15,36.67,37.7,36.31,36.8,57185
2022-06-16,36.68,38.19,36.6,37.27,52563
2022-06-17,37.0,37.5,36.36,37.2,71990
2022-06-20,37.09,39.92,36.92,39.48,116894
2022-06-21,39.25,39.25,36.7,36.88,119086
2022-06-22,36.66,37.15,35.51,35.78,59671
2022-06-23,35.63,38.83,35.25,38.79,123094
2022-06-24,39.33,42.02,39.02,41.57,154707
2022-06-27,42.35,42.56,40.8,41.8,107792
2022-06-28,41.31,43.62,41.31,43.44,100902
2022-06-29,43.18,43.44,41.53,41.58,77281
2022-06-30,41.56,42.69,41.4,42.18,45059
2022-07-01,41.89,42.89,40.87,41.73,61220
2022-07-04,41.74,44.5,40.72,44.17,97785
2022-07-05,43.88,44.5,42.73,44.5,86328
2022-07-06,44.4,46.08,43.65,44.15,102322
2022-07-07,44.11,45.85,43.83,45.66,88404
