date,open,high,low,close,volume
2022-03-01,3.11,3.13,3.1,3.12,1352589
2022-03-02,3.12,3.15,3.11,3.13,1400139
2022-03-03,3.13,3.16,3.13,3.15,1374158
2022-03-04,3.15,3.16,3.14,3.15,1560241
2022-03-07,3.14,3.15,3.12,3.13,1360415
2022-03-08,3.12,3.14,3.1,3.1,1500377
2022-03-09,3.1,3.11,3.04,3.08,2660492
2022-03-10,3.09,3.1,3.08,3.08,1101012
2022-03-11,3.08,3.11,3.06,3.1,1789427
2022-03-14,3.08,3.12,3.07,3.09,1576585
2022-03-15,3.09,3.09,3.02,3.03,2902300
2022-03-16,3.04,3.08,3.02,3.07,2194096
2022-03-17,3.08,3.09,3.05,3.06,1987681
2022-03-18,3.06,3.11,3.05,3.1,2512426
2022-03-21,3.09,3.11,3.08,3.09,1245684
2022-03-22,3.1,3.17,3.09,3.15,2532816
2022-03-23,3.15,3.15,3.11,3.14,1363387
2022-03-24,3.13,3.15,3.12,3.14,783666
2022-03-25,3.14,3.17,3.12,3.16,1551892
2022-03-28,3.14,3.17,3.13,3.17,1114549
2022-03-29,3.16,3.19,3.16,3.19,1647421
2022-03-30,3.2,3.22,3.19,3.22,2352250
2022-03-31,3.22,3.28,3.21,3.27,3526742
2022-04-01,3.26,3.29,3.24,3.29,2433420
2022-04-06,3.28,3.31,3.26,3.3,2376670
2022-04-07,3.3,3.32,3.26,3.28,2351080
2022-04-08,3.28,3.3,3.27,3.29,1620982
2022-04-11,3.3,3.31,3.28,3.28,1874243
2022-04-12,3.28,3.3,3.26,3.3,1935633
2022-04-13,3.29,3.33,3.28,3.29,1667786
2022-04-14,3.3,3.32,3.28,3.28,1176845
2022-04-15,3.28,3.29,3.27,3.28,1055085
2022-04-18,3.27,3.28,3.21,3.23,1803161
2022-04-19,3.22,3.26,3.22,3.26,1235753
2022-04-20,3.26,3.28,3.25,3.27,1260555
2022-04-21,3.27,3.3,3.26,3.27,1627307
2022-04-22,3.26,3.32,3.25,3.3,1956261
2022-04-25,3.29,3.33,3.27,3.27,2908495
2022-04-26,3.28,3.3,3.26,3.28,2155325
2022-04-27,3.28,3.29,3.21,3.23,2177417
2022-04-28,3.23,3.28,3.22,3.26,2210529
2022-04-29,3.26,3.27,3.21,3.23,3714350
2022-05-05,3.24,3.25,3.2,3.23,2373570
2022-05-06,3.21,3.22,3.18,3.19,1437636
2022-05-09,3.19,3.2,3.18,3.19,1091373
2022-05-10,3.18,3.2,3.16,3.2,1758090
2022-05-11,3.2,3.21,3.19,3.2,1319968
2022-05-12,3.19,3.2,3.19,3.2,904585
2022-05-13,3.2,3.21,3.19,3.21,986056
2022-05-16,3.21,3.21,3.18,3.19,1072135
2022-05-17,3.2,3.21,3.19,3.2,1024450
2022-05-18,3.2,3.2,3.18,3.19,907016
2022-05-19,3.18,3.19,3.17,3.18,1053013
2022-05-20,3.19,3.21,3.18,3.19,1386563
2022-05-23,3.2,3.21,3.19,3.2,1027283
2022-05-24,3.19,3.2,3.19,3.2,912249
2022-05-25,3.19,3.21,3.19,3.2,1275209
2022-05-26,3.2,3.21,3.2,3.21,1049467
2022-05-27,3.21,3.22,3.2,3.22,1075850
2022-05-30,3.21,3.22,3.19,3.2,1762627
2022-05-31,3.19,3.2,3.19,3.19,1152578
2022-06-01,3.19,3.2,3.18,3.19,1058389
2022-06-02,3.19,3.2,3.18,3.19,675854
2022-06-06,3.19,3.2,3.18,3.18,1323917
2022-06-07,3.19,3.19,3.17,3.19,966589
2022-06-08,3.19,3.2,3.18,3.19,985392
2022-06-09,3.19,3.21,3.18,3.21,1337471
2022-06-10,3.2,3.23,3.19,3.23,1972814
2022-06-13,3.21,3.23,3.19,3.21,1290629
2022-06-14,3.21,3.23,3.19,3.23,1462811
2022-06-15,3.23,3.26,3.22,3.23,1967404
2022-06-16,3.24,3.25,3.22,3.23,1481403
2022-06-17,3.23,3.24,3.22,3.23,1394222
2022-06-20,3.23,3.23,3.21,3.22,1020641
2022-06-21,3.22,3.26,3.21,3.25,1417338
2022-06-22,3.25,3.26,3.23,3.23,1246482
2022-06-23,3.24,3.25,3.23,3.25,1118152
2022-06-24,3.25,3.26,3.24,3.25,1303050
2022-06-27,3.25,3.26,3.24,3.25,1423878
2022-06-28,3.25,3.26,3.24,3.25,1248816
2022-06-29,3.24,3.26,3.24,3.26,1452630
2022-06-30,3.25,3.27,3.25,3.26,1327411
2022-07-01,3.26,3.27,3.26,3.26,1078274
2022-07-04,3.27,3.3,3.26,3.29,1582790
2022-07-05,3.29,3.31,3.28,3.3,1097017
2022-07-06,3.31,3.31,3.29,3.29,1552081
2022-07-07,3.3,3.3,3.29,3.29,966178
2022-07-08,3.3,3.31,3.29,3.3,1302412
2022-07-11,3.31,3.34,3.3,3.32,1922687
2022-07-12,3.33,3.35,3.32,3.33,2239214
2022-07-13,3.33,3.34,3.28,3.29,2253516
2022-07-14,3.27,3.28,3.21,3.23,2257078
2022-07-15,3.03,3.04,3.0,3.0,2732321
2022-07-18,3.01,3.03,3.0,3.02,1346136
2022-07-19,3.03,3.05,3.02,3.04,1026814
