date,open,high,low,close,volume
2023-07-19,70.0,74.01,62.01,70.34,85073
2023-07-20,71.0,71.93,66.3,70.1,57264
2023-07-21,70.18,70.19,64.44,64.82,39940
2023-07-24,63.02,70.3,62.2,69.2,44771
2023-07-25,71.25,71.59,68.1,69.22,24186
2023-07-26,67.6,70.3,66.9,68.88,18820
2023-07-27,68.11,68.99,66.45,67.16,12756
2023-07-28,67.88,67.88,64.87,64.95,10362
2023-07-31,64.51,65.0,63.2,63.55,10206
2023-08-01,63.56,65.28,63.28,63.77,5276
2023-08-02,63.5,65.23,62.49,64.19,9107
2023-08-03,64.06,65.19,63.2,63.89,5439
2023-08-04,63.89,69.85,63.56,67.0,14118
2023-08-07,67.77,67.77,65.05,65.13,5800
2023-08-08,65.2,66.28,64.91,65.26,3102
2023-08-09,65.01,65.63,63.4,64.36,3940
2023-08-10,64.19,66.25,63.96,64.68,4219
2023-08-11,64.71,65.52,63.38,63.62,5530
2023-08-14,63.0,66.6,63.0,66.29,7448
2023-08-15,66.63,67.46,63.31,63.92,7277
2023-08-16,63.93,64.08,61.06,61.47,7305
2023-08-17,61.08,61.8,59.99,61.75,4938
2023-08-18,63.93,69.55,63.85,64.17,16940
2023-08-21,62.25,64.37,61.68,62.35,8602
2023-08-22,62.0,62.8,58.62,60.99,8737
2023-08-23,60.93,60.93,58.68,58.89,3772
2023-08-24,58.7,59.65,58.13,59.09,1814
2023-08-25,58.53,58.6,54.67,54.81,4887
2023-08-28,57.88,59.48,55.61,55.69,6953
2023-08-29,55.69,59.9,55.22,59.43,7549
2023-08-30,59.37,62.08,59.0,61.63,7965
2023-08-31,61.0,63.3,60.49,61.99,6552
2023-09-01,62.6,62.93,60.8,61.47,4163
2023-09-04,61.2,61.44,59.67,60.8,3242
2023-09-05,60.06,61.39,59.4,59.88,3412
2023-09-06,58.99,60.98,58.9,60.36,5275
2023-09-07,60.02,60.02,58.16,58.16,2756
2023-09-08,57.52,59.8,57.52,59.24,3746
2023-09-11,58.7,59.77,58.25,59.2,2306
2023-09-12,58.7,59.09,58.29,58.33,2046
