date,open,high,low,close,volume
2022-03-01,16.98,17.82,16.98,17.81,20793
2022-03-02,17.9,17.9,17.43,17.68,9907
2022-03-03,17.7,17.77,17.36,17.4,8793
2022-03-04,17.34,18.35,17.3,17.77,19552
2022-03-07,17.67,20.84,17.67,20.17,90541
2022-03-08,20.0,20.0,17.95,18.12,68429
2022-03-09,18.18,18.85,17.15,17.53,41605
2022-03-10,17.71,19.49,17.71,18.66,51089
2022-03-11,18.21,18.75,18.05,18.56,34093
2022-03-14,18.33,19.06,18.03,18.18,37523
2022-03-15,18.05,18.18,16.69,16.69,31724
2022-03-16,17.8,18.94,17.05,17.78,46649
2022-03-17,17.85,18.95,17.61,18.23,47690
2022-03-18,18.23,18.65,18.11,18.4,24592
2022-03-21,18.52,19.51,18.51,18.98,32313
2022-03-22,18.98,19.13,18.41,18.57,19736
2022-03-23,18.7,18.82,18.01,18.22,14958
2022-03-24,18.09,18.33,17.81,18.07,13987
2022-03-25,18.12,18.25,17.65,17.75,12776
2022-03-28,17.75,17.77,17.3,17.44,11764
2022-03-29,17.55,17.88,17.25,17.54,14173
2022-03-30,17.66,18.13,17.37,18.13,17613
2022-03-31,18.6,20.4,18.2,19.53,74400
2022-04-01,19.31,19.78,18.89,19.22,36190
2022-04-06,19.14,19.38,18.9,19.23,24282
2022-04-07,19.07,19.2,18.65,18.77,16113
2022-04-08,18.8,18.81,17.75,17.98,19954
2022-04-11,17.86,18.05,17.23,17.36,14767
2022-04-12,17.36,17.85,17.19,17.85,9389
2022-04-13,17.81,17.81,16.94,17.06,13850
2022-04-14,17.15,17.28,17.02,17.03,10831
2022-04-15,17.0,17.0,15.89,15.96,22246
2022-04-18,15.96,16.12,15.45,15.85,10162
2022-04-19,16.0,16.09,15.57,15.79,10743
2022-04-20,15.88,15.99,15.41,15.52,8831
2022-04-21,15.5,15.52,14.51,14.59,17520
2022-04-22,14.55,14.59,14.0,14.36,13966
2022-04-25,14.21,14.21,13.36,13.36,16220
2022-04-26,13.58,13.66,12.48,12.55,20074
2022-04-27,11.66,12.48,11.48,12.4,29217
2022-04-28,12.28,12.5,11.58,11.78,19868
2022-04-29,11.95,12.6,11.95,12.49,12798
2022-05-05,12.34,12.83,12.18,12.68,10340
2022-05-06,12.37,12.79,12.37,12.72,10813
2022-05-09,12.71,13.12,12.7,12.85,10723
2022-05-10,12.6,13.47,12.57,13.31,17390
2022-05-11,13.49,15.97,13.47,15.97,67223
2022-05-12,15.5,17.2,15.25,16.8,97792
2022-05-13,17.33,18.2,16.16,17.39,87251
2022-05-16,17.0,17.57,15.8,15.95,62503
2022-05-17,16.27,16.38,14.58,15.16,61053
2022-05-18,15.11,15.35,14.5,15.1,37197
2022-05-19,14.85,15.05,14.51,14.9,24868
2022-05-20,14.92,15.07,14.64,15.07,23908
2022-05-23,15.55,15.55,14.5,14.7,36410
2022-05-24,14.95,14.95,13.57,13.57,34544
