date,open,high,low,close,volume
2022-03-01,84.3,84.83,83.25,83.8,40384
2022-03-02,83.5,83.95,82.4,83.33,31424
2022-03-03,84.2,84.39,82.18,82.18,32477
2022-03-04,81.9,84.39,81.51,82.19,47119
2022-03-07,82.19,82.48,77.0,77.93,80140
2022-03-08,78.21,79.09,73.96,74.04,67987
2022-03-09,74.21,75.2,68.46,71.14,94103
2022-03-10,72.56,73.56,71.61,72.43,60126
2022-03-11,71.55,77.17,70.5,77.0,88010
2022-03-14,76.2,78.78,76.0,77.0,74604
2022-03-15,75.98,77.5,72.99,72.99,68282
2022-03-16,74.35,74.8,69.5,72.89,76175
2022-03-17,73.99,80.0,73.96,78.38,129813
2022-03-18,78.5,85.19,77.81,84.99,164600
2022-03-21,87.05,90.5,85.84,87.45,160753
2022-03-22,86.66,86.97,84.48,84.57,71567
2022-03-23,84.68,87.3,83.56,86.87,72499
2022-03-24,85.3,95.0,84.51,92.66,150610
2022-03-25,91.48,92.95,90.1,92.11,89913
2022-03-28,90.21,90.89,86.9,88.15,59784
2022-03-29,88.82,93.9,88.01,93.13,83592
2022-03-30,94.08,95.86,92.23,92.31,64306
2022-03-31,92.34,94.14,91.33,93.25,46958
2022-04-01,92.01,92.64,88.6,89.15,64694
2022-04-06,90.2,91.0,87.99,89.92,45566
2022-04-07,88.33,89.6,86.95,87.1,37603
2022-04-08,87.13,89.4,86.2,87.03,37942
2022-04-11,86.76,88.97,85.58,86.96,49360
2022-04-12,87.01,87.69,84.47,85.79,41087
2022-04-13,85.1,85.1,79.67,81.48,53321
2022-04-14,85.99,85.99,77.6,80.5,82084
2022-04-15,79.47,83.56,79.2,80.94,52463
2022-04-18,80.08,80.76,76.17,78.1,73493
2022-04-19,78.19,79.24,75.59,76.17,51896
2022-04-20,76.57,78.0,75.91,76.2,35228
2022-04-21,76.5,77.2,73.33,73.88,38568
2022-04-22,73.37,73.65,67.75,68.1,120163
2022-04-25,68.01,68.01,62.52,62.7,95782
2022-04-26,63.56,64.47,60.95,61.17,72543
2022-04-27,61.18,63.88,59.15,63.72,84419
2022-04-28,66.0,66.0,60.53,61.65,94128
2022-04-29,61.81,65.07,61.35,64.73,80403
2022-05-05,64.3,66.38,63.3,65.28,72058
2022-05-06,63.4,65.1,63.1,63.94,47282
2022-05-09,64.28,65.69,63.67,65.03,36580
2022-05-10,63.88,66.0,63.65,65.52,44945
2022-05-11,65.94,68.86,65.22,66.88,75467
2022-05-12,66.88,71.2,66.24,68.98,85399
2022-05-13,68.53,69.8,66.92,67.49,52312
2022-05-16,67.49,68.2,65.56,66.0,51680
2022-05-17,63.95,63.96,55.62,57.21,296007
2022-05-18,57.58,59.18,56.18,57.93,129309
2022-05-19,56.78,59.8,56.51,58.7,104375
2022-05-20,59.55,62.65,59.5,61.25,89399
2022-05-23,62.6,63.75,60.76,63.42,84930
2022-05-24,62.97,63.23,60.67,61.0,81514
2022-05-25,60.9,62.54,60.6,62.3,51740
2022-05-26,62.19,62.52,60.5,60.81,49471
2022-05-27,61.69,62.33,60.35,60.87,48257
2022-05-30,61.63,64.05,60.5,62.89,74269
2022-05-31,63.21,63.21,60.54,62.29,84293
2022-06-01,62.69,63.07,61.5,61.86,63553
2022-06-02,38.0,38.49,37.05,37.56,138383
2022-06-06,37.05,39.81,37.05,39.66,205231
2022-06-07,39.52,40.7,39.45,40.4,132768
2022-06-08,40.73,41.19,39.55,40.11,170680
2022-06-09,39.89,40.38,38.79,38.96,102394
2022-06-10,38.73,39.2,38.56,38.96,121432
2022-06-13,38.65,40.1,38.47,39.22,129285
2022-06-14,38.75,39.57,38.25,39.56,94484
2022-06-15,39.99,41.1,39.68,40.22,169990
2022-06-16,40.05,42.18,40.03,40.8,163527
2022-06-17,40.52,42.12,39.82,41.95,178293
2022-06-20,42.48,43.3,41.82,42.99,188883
2022-06-21,43.62,43.99,42.01,42.6,153313
2022-06-22,42.35,43.15,41.6,41.6,108458
2022-06-23,41.6,41.99,40.82,41.96,96415
2022-06-24,42.18,42.89,41.89,42.34,115753
2022-06-27,42.68,43.88,42.64,43.6,164855
2022-06-28,43.68,43.83,42.41,43.16,118473
2022-06-29,43.12,45.75,43.0,44.18,201969
2022-06-30,44.49,46.18,44.0,45.18,157981
2022-07-01,44.78,45.77,44.06,44.65,106958
2022-07-04,44.88,46.35,44.3,46.26,152323
2022-07-05,46.71,47.0,45.07,45.73,140509
2022-07-06,45.75,46.19,44.15,44.53,124038
2022-07-07,44.85,44.99,43.28,43.86,102048
2022-07-08,43.89,44.89,43.7,43.81,79918
2022-07-11,43.61,45.12,43.51,43.84,106297
2022-07-12,43.52,43.84,41.5,41.51,128422
2022-07-13,41.25,41.73,40.26,40.87,107891
2022-07-14,40.62,42.45,40.6,41.79,101773
2022-07-15,41.65,41.78,40.1,40.12,102162
2022-07-18,40.5,40.95,39.5,40.4,78570
2022-07-19,40.34,40.88,39.5,39.9,74817
2022-07-20,40.2,41.15,40.12,40.58,80538
2022-07-21,40.55,40.81,40.06,40.12,61112
2022-07-22,40.09,40.41,38.04,38.2,178252
2022-07-25,35.79,36.46,34.44,36.32,274555
2022-07-26,36.63,36.88,35.45,35.85,152953
2022-07-27,35.85,36.18,34.94,35.0,130341
2022-07-28,35.05,35.37,34.6,34.64,109170
2022-07-29,34.64,34.88,33.37,33.4,135523
2022-08-01,33.3,33.59,32.7,32.84,127115
2022-08-02,33.13,33.32,31.81,32.27,164974
2022-08-03,32.5,33.66,32.23,32.53,141755
2022-08-04,32.8,33.53,32.64,33.2,115344
2022-08-05,33.2,35.28,33.19,35.28,182405
2022-08-08,35.44,35.88,34.71,35.2,128466
2022-08-09,34.84,35.1,34.34,34.67,92441
2022-08-10,34.67,35.2,34.15,34.38,67483
2022-08-11,34.61,35.6,34.52,35.48,104732
2022-08-12,35.4,36.59,35.25,36.22,116312
2022-08-15,36.01,36.15,35.17,35.46,93836
2022-08-16,35.53,35.71,34.8,34.99,67158
2022-08-17,35.0,35.43,34.7,35.06,72266
2022-08-18,34.93,34.96,34.24,34.31,88077
2022-08-19,34.69,36.16,34.69,35.23,175349
2022-08-22,35.21,35.21,34.03,34.46,97289
2022-08-23,34.3,34.36,33.54,33.66,93632
2022-08-24,33.8,34.05,32.47,32.48,101899
2022-08-25,32.48,33.28,32.4,32.9,79158
2022-08-26,32.87,34.15,32.83,33.28,92798
2022-08-29,32.87,33.22,32.4,32.96,71026
